Familia,Material,Color,Medida,Proveedor,Precio Unitario
Melamina ,Melamina Arauco  6x8  de 3/4,Roble Provenzal,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Roble Mérida,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Encino Polar,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Cendra Escandinavo,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Aserrado Nórdico,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Nogal Terracota,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Ébano Indi,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Fresno Bruma,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Wengué,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Linosa Ceniza,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Seda Giorno,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Toscana,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Riviera,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Nativa,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Alaska,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Avella,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Cocoa,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Nougat,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Moscato,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Espresso,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Mármara,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Arauco  6x8  de 3/4,Vizcaya,Hoja 6x8,Cualquiera,1550
Melamina ,Melamina Blanca aglomerado 5/8,Blanco,Hoja 4x8,Cualquiera,600
Melamina ,Melamina Blanca 2 caras de  1/4 MDF,Blanco,Hoja 1/4,Cualquiera,500
Melamina ,MYP,Cualquier color,Hoja 4x8,Cualquiera,1100
Melamina ,TJ,Cualquier color,Hoja 4x8,Cualquiera,700
Melamina ,Otro,Cualquier color,Hoja 4x8,Cualquiera,700
Melamina ,Blanca  Alto Brillo MDF 3/4,Blanco Alto Brillo,Hoja 4x8,Cualquiera,1100
Chapacinta ,Chapa plancha Arauco,Roble Provenzal,100 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Roble Mérida,101 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Encino Polar,102 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Cendra Escandinavo,103 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Aserrado Nórdico,104 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Nogal Terracota,105 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Ébano Indi,106 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Fresno Bruma,107 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Wengué,108 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Linosa Ceniza,109 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Seda Giorno,110 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Toscana,111 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Riviera,112 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Nativa,113 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Alaska,114 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Avella,115 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Cocoa,116 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Nougat,117 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Moscato,118 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Espresso,119 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Mármara,120 mts,Cualquiera,600
Chapacinta ,Chapa plancha Arauco,Vizcaya,121 mts,Cualquiera,600
Chapacinta ,Chapa madera plancha,Birch,122 mts,Cualquiera,1200
Chapacinta ,Chapa madera plancha,Encino,123 mts,Cualquiera,1200
Chapacinta ,Chapa madera plancha,Maple,124 mts,Cualquiera,1200
Pintura,Poliuretano,Blanco semi  mate,1 litro,Sayer,300
Pintura,Poliuretano,Fondo blanco,1 litro,Sayer,300
Pintura,Poliuretano,Transp. semi-mate,1 litro,Sayer,300
Pintura,Poliuretano,Transparente,1 litro,Sayer,300
Pintura,"Kit líquidos (catal, diluy, endure)",Líquidos,1 litro,Sayer,400
Pintura,Poliuretano,Blanco semi  mate,1 Galón,Sayer,1300
Pintura,Poliuretano,Fondo blanco,1 Galón,Sayer,1300
Pintura,Poliuretano,Transp. semi-mate,1 Galón,Sayer,800
Pintura,Poliuretano,Transparente,1 Galón,Sayer,800
Pintura,"Kit líquidos (catal, diluy, endure)",Líquidos,1 Galón,Sayer,800
Bisagra,Apertura 110 cierre normal,Base plana ,1 par,Cualquiera,25
Bisagra,Apertura 110 cierre normal,Base avión,1 par,Cualquiera,25
Bisagra,Apertura 110 cierre suave,Base plana ,1 par,Cualquiera,50
Bisagra,Apertura 110 cierre  suave,Base avión,1 par,Cualquiera,50
Bisagra,Apertura 110 cierre suave,Base plana ,1 par,Blum,150
Bisagra,Apertura 110 cierre  suave,Base avión,1 par,Blum,150
Bisagra,Kit esquinero,Base normal,1 kit,Cualquiera,150
Bisagra,Kit esquinero,Base normal,1 kit,Blum,215
Bisagra,Pata corta,Base normal,1 par,Cualquiera,35
Pistones ,Puerta push open canto,Blanco,1 pz,Cualquiera,50
Pistones ,Puerta push open canto,Negro,1 pz,Cualquiera,50
Pistones ,Puerta push open canto,Gris,1 pz,Cualquiera,50
Pistones ,Puerta push en mueble,Gris,1 pz,Cualquiera,50
Jaladera,Barra 7 pulgadas,Satinada,1 pz,Cualquiera,25
Jaladera,Barra 10 pulgadas,Satinada,1 pz,Cualquiera,25
Jaladera,"Forma C delgada 5""",Satinada,1 pz,Cualquiera,65
Jaladera,"Forma C delgada 7""",Satinada,1 pz,Cualquiera,85
Jaladera,"Forma C ""cuadro 5""",Satinada,1 pz,Cualquiera,65
Jaladera,"Forma C ""cuadro 7""",Satinada,1 pz,Cualquiera,85
Riel,Extension cierre normal,Satinado,"20""",Cualquiera,80
Riel,Extension cierre normal,Satinado,"18""",Cualquiera,80
Riel,Extension cierre normal,Satinado,"16""",Cualquiera,80
Riel,Extension cierre normal,Satinado,"14""",Cualquiera,80
Riel,Extension cierre normal,Satinado,"12""",Cualquiera,80
Riel,Extension cierre lento,Satinado,"20""",Cualquiera,250
Piston,Apertura garaje,Satinado,80 neutros,Cualquiera,50
Tapones,Calcomanías,Roble Provenzal,1 hoja,Cualquiera,50
Tapones,Calcomanías,Roble Mérida,1 hoja,Cualquiera,50
Tapones,Calcomanías,Encino Polar,1 hoja,Cualquiera,50
Tapones,Calcomanías,Cendra Escandinavo,1 hoja,Cualquiera,50
Tapones,Calcomanías,Aserrado Nórdico,1 hoja,Cualquiera,50
Tapones,Calcomanías,Nogal Terracota,1 hoja,Cualquiera,50
Tapones,Calcomanías,Ébano Indi,1 hoja,Cualquiera,50
Tapones,Calcomanías,Fresno Bruma,1 hoja,Cualquiera,50
Tapones,Calcomanías,Wengué,1 hoja,Cualquiera,50
Tapones,Calcomanías,Linosa Ceniza,1 hoja,Cualquiera,50
Tapones,Calcomanías,Seda Giorno,1 hoja,Cualquiera,50
Tapones,Calcomanías,Toscana,1 hoja,Cualquiera,50
Tapones,Calcomanías,Riviera,1 hoja,Cualquiera,50
Tapones,Calcomanías,Nativa,1 hoja,Cualquiera,50
Tapones,Calcomanías,Alaska,1 hoja,Cualquiera,50
Tapones,Calcomanías,Avella,1 hoja,Cualquiera,50
Tapones,Calcomanías,Cocoa,1 hoja,Cualquiera,50
Tapones,Calcomanías,Nougat,1 hoja,Cualquiera,50
Tapones,Calcomanías,Moscato,1 hoja,Cualquiera,50
Tapones,Calcomanías,Espresso,1 hoja,Cualquiera,50
Tapones,Calcomanías,Mármara,1 hoja,Cualquiera,50
Tapones,Calcomanías,Vizcaya,1 hoja,Cualquiera,50
Tapones,Calcomanías,Blanco,1 hoja,Cualquiera,50
Ménsula,Paleta 1/4,Satinada,1 bolsa 100 pz,Cualquiera,130
Triplay ,Birch 4x8 normal,Normal,1 hoja 4x8,cualquiera,800
Triplay ,Birch 4x8 2 caras,Prefinish,1 hoja 4x8,cualquiera,950
Triplay ,Birch 4x8 1 cara,Prefinish,1 hoja 4x8,cualquiera,890
Triplay ,Birch 4x8 1 cara,Prefinish,1 hoja 4x8,cualquiera,500
MDF,MDF 4x8 normal,Normal,1 hoja 4x8,cualquiera,800
Tinta,Tinta al aceite,Cualquiera,1 ltr,cualquiera,250
